Date (YMD),Advancers,Decliners,Unchanged,RANA,19-day EMA,39-day EMA,Oscillator,Index
19861022,781,733,485,31.7040951123,2.5504290257,-1.0782074666,3.6286364923,2039.1144113908
19861023,1105,491,411,384.7117794486,40.766564068,18.2112918791,22.5552721888,2061.6696835797
19861024,717,863,420,-92.4050632911,27.4494013321,12.6804741206,14.7689272114,2076.4386107911
19861027,786,748,462,24.7718383312,27.181645032,13.2850423312,13.8966027008,2090.3352134919
19861028,896,683,447,134.8955034832,37.9530308771,19.3655653888,18.5874654883,2108.9226789803
19861029,1028,584,406,275.4342431762,61.701152107,32.1689992781,29.5321528289,2138.4548318092
19861030,1105,537,397,345.9196102314,90.1229979195,47.8565298258,42.2664680937,2180.7212999028
19861031,897,706,416,119.1515907673,93.0258572042,51.4212828729,41.6045743314,2222.3258742342
19861103,979,634,435,213.88716677,105.1119881608,59.5445770677,45.5674110931,2267.8932853273
19861104,892,698,437,122.0125786164,106.8020472064,62.6679771452,44.1340700612,2312.0273553885
19861105,968,661,406,188.4591774095,114.9677602267,68.9575371584,46.0102230683,2358.0375784568
19861106,654,911,450,-164.2172523962,87.0492589644,57.2987976806,29.7504612837,2387.7880397405
19861107,741,808,451,-43.2537120723,74.0189618607,52.271172193,21.7477896677,2409.5358294083
19861110,851,740,438,69.7674418605,73.5938098607,53.1459856764,20.4478241843,2429.9836535926
19861111,762,771,445,-5.8708414873,65.6473447259,50.1951443182,15.4522004077,2445.4358540003
19861112,709,862,464,-97.3901973265,49.3435905207,42.815877236,6.5277132847,2451.963567285
19861113,476,1098,440,-395.1715374841,4.8920777202,20.9165064999,-16.0244287798,2435.9391385052
19861114,825,733,439,59.0500641849,10.3078763666,22.8231843842,-12.5153080175,2423.4238304877
19861117,545,1047,418,-315.3266331658,-22.2555745866,5.9156935067,-28.1712680933,2395.2525623944
19861118,283,1390,357,-661.68559474,-86.1985766019,-27.4643709056,-58.7342056963,2336.5183566981
19861119,571,1055,395,-297.6629766298,-107.3450166047,-40.9743011918,-66.3707154129,2270.1476412852
19861120,1308,373,356,556.2165377751,-40.9888611667,-11.1147592435,-29.8741019232,2240.273539362
